epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,748.317,0.7607,1.26437,1.75428,1.06174,0.3534,0.16739,0.1477,0.09234,0.32313,0.15492,0.13932,0.09294,0.61476,0.60148,1.11085,0.72813,0.00333,0.00333,0.00333
2,1487.46,0.71418,0.9938,1.16612,1.00225,0.368,0.18893,0.16314,0.10453,0.30263,0.15701,0.13312,0.084,0.63111,0.63598,1.56059,0.74113,0.0065314,0.0065314,0.0065314
3,2216.4,0.77991,1.0388,1.1512,1.02976,0.52113,0.20756,0.22748,0.1461,0.46594,0.18749,0.20907,0.13855,0.6499,0.62908,0.6499,0.74398,0.0096008,0.0096008,0.0096008
4,2939.4,0.80673,1.04959,1.13998,1.03771,0.60792,0.21039,0.25178,0.16354,0.52539,0.18432,0.22105,0.14269,0.62238,0.60714,0.55389,0.73816,0.009406,0.009406,0.009406
5,3664.79,0.76291,0.99317,1.07663,1.02419,0.23593,0.15718,0.11942,0.07671,0.18089,0.13712,0.09298,0.06068,0.62768,0.55827,2.46393,0.74598,0.009208,0.009208,0.009208
6,4387.48,0.72914,0.95733,1.03148,1.0103,0.594,0.22599,0.27068,0.17956,0.49804,0.18759,0.22123,0.14717,0.56578,0.54246,0.55702,0.72928,0.00901,0.00901,0.00901
7,5120.76,0.70343,0.9146,0.98985,0.99961,0.64633,0.23228,0.29758,0.19955,0.5382,0.18815,0.23734,0.15676,0.54777,0.52159,0.47857,0.72315,0.008812,0.008812,0.008812
8,5849.18,0.68283,0.89567,0.96565,0.99372,0.64087,0.23294,0.2775,0.18373,0.52944,0.19087,0.22178,0.14359,0.54476,0.53429,0.55161,0.72525,0.008614,0.008614,0.008614
9,6578.36,0.66727,0.87816,0.94204,0.98566,0.37088,0.18317,0.16341,0.10661,0.3014,0.14769,0.12546,0.08043,0.54911,0.50677,1.47568,0.72052,0.008416,0.008416,0.008416
10,7311.35,0.65369,0.84466,0.9172,0.97917,0.67354,0.24374,0.30742,0.20535,0.5624,0.19761,0.24611,0.16083,0.52055,0.53006,0.4411,0.717,0.008218,0.008218,0.008218
11,8047.15,0.64501,0.83689,0.90413,0.97596,0.42596,0.20221,0.21632,0.14217,0.34113,0.16105,0.16718,0.10906,0.54291,0.48146,1.77025,0.72604,0.00802,0.00802,0.00802
12,8791.75,0.62948,0.81768,0.87903,0.9732,0.67516,0.24348,0.30692,0.20622,0.56628,0.19131,0.23608,0.15484,0.50282,0.46951,0.48378,0.72698,0.007822,0.007822,0.007822
13,9537.74,0.62673,0.81814,0.87459,0.96925,0.63902,0.24553,0.31029,0.21227,0.51855,0.19488,0.24335,0.16339,0.48205,0.47081,0.4652,0.71163,0.007624,0.007624,0.007624
14,10256.4,0.6159,0.79625,0.85985,0.96638,0.49464,0.22118,0.255,0.17327,0.40232,0.17646,0.19819,0.13113,0.51989,0.45466,1.95993,0.72709,0.007426,0.007426,0.007426
15,10989.5,0.61014,0.79264,0.84824,0.96271,0.64063,0.24753,0.3044,0.20847,0.52734,0.19682,0.23891,0.15933,0.47136,0.4545,0.46141,0.70959,0.007228,0.007228,0.007228
16,11718.5,0.59646,0.77083,0.8305,0.95819,0.771,0.26207,0.34863,0.23822,0.62789,0.20769,0.27737,0.18768,0.46534,0.45462,0.34074,0.70592,0.00703,0.00703,0.00703
17,12465.5,0.59835,0.7765,0.83312,0.95655,0.63764,0.24538,0.3016,0.20599,0.50792,0.19316,0.23024,0.15334,0.45951,0.44513,0.53212,0.70592,0.006832,0.006832,0.006832
18,13196.6,0.59147,0.7695,0.82713,0.95496,0.70458,0.25202,0.3332,0.23169,0.57594,0.1983,0.26176,0.17722,0.4558,0.43903,0.39405,0.70896,0.006634,0.006634,0.006634
19,13907.3,0.58156,0.75928,0.81092,0.95271,0.71176,0.25686,0.35064,0.244,0.58949,0.19985,0.27369,0.18714,0.44695,0.43671,0.36709,0.70865,0.006436,0.006436,0.006436
20,14641.9,0.57427,0.7478,0.80052,0.94924,0.67417,0.25467,0.32959,0.228,0.55087,0.20319,0.26039,0.17609,0.44818,0.43499,0.45098,0.70581,0.006238,0.006238,0.006238
21,15356.7,0.57407,0.74155,0.8,0.9465,0.53901,0.24028,0.28183,0.194,0.42566,0.18848,0.21354,0.14265,0.45065,0.43252,0.65305,0.70585,0.00604,0.00604,0.00604
22,15922.6,0.56811,0.74064,0.78567,0.94512,0.6189,0.25155,0.32481,0.22605,0.5111,0.19446,0.24989,0.16885,0.44913,0.44223,0.6576,0.7125,0.005842,0.005842,0.005842
23,16465.1,0.55873,0.72814,0.77414,0.94272,0.63378,0.25484,0.31363,0.217,0.51032,0.19789,0.24079,0.16238,0.44386,0.43122,0.57975,0.70821,0.005644,0.005644,0.005644
24,17017.5,0.55742,0.71965,0.77867,0.94169,0.64144,0.25132,0.31644,0.21985,0.51525,0.19583,0.24287,0.16386,0.44085,0.43281,0.53222,0.70738,0.005446,0.005446,0.005446
25,17569.8,0.55049,0.7143,0.76391,0.93867,0.68972,0.25634,0.33569,0.23328,0.55079,0.19898,0.25651,0.17349,0.4281,0.43198,0.46546,0.70432,0.005248,0.005248,0.005248
26,18123.1,0.55454,0.72055,0.76982,0.93914,0.72809,0.26403,0.36301,0.25378,0.59005,0.20285,0.27848,0.18957,0.41695,0.41918,0.35086,0.69662,0.00505,0.00505,0.00505
27,18668.1,0.54292,0.70934,0.75921,0.93434,0.54617,0.24492,0.29047,0.20189,0.43137,0.19201,0.22218,0.14959,0.43953,0.42001,0.96237,0.71235,0.004852,0.004852,0.004852
28,19214.4,0.54421,0.70953,0.75326,0.93304,0.74434,0.26663,0.36627,0.25723,0.6068,0.20536,0.28237,0.19305,0.41057,0.41258,0.33277,0.69474,0.004654,0.004654,0.004654
29,19744.5,0.53468,0.68802,0.73053,0.93019,0.74424,0.26915,0.3676,0.25694,0.5915,0.20785,0.28314,0.19358,0.41467,0.41897,0.34611,0.69913,0.004456,0.004456,0.004456
30,20293.3,0.53139,0.69145,0.74264,0.93179,0.75832,0.26805,0.36845,0.25831,0.61306,0.20717,0.28359,0.19393,0.42067,0.42786,0.36422,0.70902,0.004258,0.004258,0.004258
31,20862.6,0.53213,0.69882,0.73234,0.92998,0.70092,0.26815,0.35918,0.25208,0.55744,0.20722,0.27571,0.18843,0.413,0.4146,0.40696,0.7028,0.00406,0.00406,0.00406
32,21397.1,0.52722,0.68781,0.72648,0.92797,0.70771,0.26567,0.35845,0.25173,0.57227,0.20587,0.27654,0.1884,0.4175,0.42356,0.48138,0.70873,0.003862,0.003862,0.003862
33,21930.5,0.52053,0.67562,0.71556,0.92381,0.71436,0.26876,0.35955,0.25143,0.5703,0.20686,0.27346,0.18627,0.41063,0.41755,0.39854,0.70407,0.003664,0.003664,0.003664
34,22467.2,0.51677,0.67691,0.70656,0.92509,0.72998,0.26792,0.3663,0.25702,0.58203,0.20836,0.28357,0.19354,0.42593,0.42998,0.4234,0.71836,0.003466,0.003466,0.003466
35,22999.4,0.51115,0.67201,0.71027,0.92279,0.74073,0.26927,0.37482,0.26286,0.58127,0.20861,0.28753,0.19675,0.41008,0.42293,0.39026,0.70725,0.003268,0.003268,0.003268
36,23544,0.51002,0.66487,0.70121,0.92076,0.72028,0.26974,0.36625,0.25674,0.57605,0.20979,0.28248,0.19297,0.41152,0.42202,0.4235,0.71225,0.00307,0.00307,0.00307
37,24079.6,0.50566,0.65857,0.69218,0.91798,0.75123,0.27245,0.37923,0.26621,0.59979,0.21032,0.29188,0.2,0.40432,0.41313,0.36313,0.70521,0.002872,0.002872,0.002872
38,24613.7,0.50513,0.66039,0.68762,0.91848,0.74871,0.27222,0.37702,0.26425,0.59483,0.2097,0.28918,0.19737,0.41546,0.42229,0.39304,0.7146,0.002674,0.002674,0.002674
39,25150.7,0.49942,0.64956,0.67866,0.91738,0.74978,0.27215,0.37593,0.26357,0.59717,0.20987,0.28889,0.19746,0.41176,0.42355,0.38312,0.71046,0.002476,0.002476,0.002476
40,25677.6,0.49691,0.64666,0.67927,0.91582,0.73773,0.27227,0.37529,0.26337,0.58537,0.2102,0.28823,0.19726,0.41158,0.42146,0.40536,0.71099,0.002278,0.002278,0.002278
41,25927.7,0.44307,0.52834,0.44416,0.83761,0.77125,0.27301,0.38552,0.27175,0.59764,0.20805,0.29286,0.20186,0.38342,0.39299,0.30525,0.68556,0.00208,0.00208,0.00208
42,26157.5,0.43828,0.51701,0.41174,0.83713,0.76386,0.27217,0.38117,0.26839,0.59335,0.2076,0.2898,0.19939,0.38461,0.3934,0.31864,0.68542,0.001882,0.001882,0.001882
43,26386.2,0.43684,0.51345,0.40609,0.83682,0.61346,0.25143,0.32482,0.22859,0.48174,0.19337,0.24669,0.16868,0.40856,0.3943,0.94166,0.70167,0.001684,0.001684,0.001684
44,26614.6,0.43453,0.51179,0.39317,0.83774,0.62089,0.25679,0.3327,0.23427,0.48533,0.19696,0.25286,0.17308,0.40847,0.38987,0.93182,0.70304,0.001486,0.001486,0.001486
45,26844.5,0.42827,0.50236,0.3752,0.83491,0.64669,0.2585,0.34064,0.23958,0.50457,0.19728,0.25818,0.17702,0.4101,0.38836,0.97585,0.70507,0.001288,0.001288,0.001288
46,27073.1,0.4218,0.50103,0.36549,0.83445,0.62532,0.25191,0.33112,0.23271,0.48209,0.19342,0.25085,0.17232,0.41122,0.38506,1.16516,0.70606,0.00109,0.00109,0.00109
47,27302.2,0.42202,0.50391,0.36683,0.83335,0.67371,0.2636,0.35646,0.25126,0.52146,0.20101,0.27018,0.18633,0.40261,0.38418,0.75234,0.70333,0.000892,0.000892,0.000892
48,27531.7,0.41317,0.49602,0.34586,0.83093,0.73463,0.27263,0.38568,0.27261,0.56793,0.20758,0.29393,0.20455,0.38957,0.38185,0.45016,0.69524,0.000694,0.000694,0.000694
49,27761.8,0.40972,0.49413,0.33946,0.82967,0.75323,0.27427,0.39522,0.27954,0.58124,0.20925,0.30144,0.21008,0.38409,0.38113,0.37494,0.69072,0.000496,0.000496,0.000496
50,27991.1,0.40672,0.49353,0.32847,0.83054,0.77487,0.27654,0.40844,0.28911,0.59778,0.21057,0.31155,0.21753,0.378,0.38131,0.30273,0.68443,0.000298,0.000298,0.000298
